Date,Close
4/8/2019,287.5
4/9/2019,281.25
4/10/2019,279
4/11/2019,280
4/12/2019,287.25
4/14/2019,null
4/15/2019,289.25
4/16/2019,294.75
4/17/2019,299.75
4/18/2019,292
4/21/2019,null
4/22/2019,293
4/23/2019,294.5
4/24/2019,297.5
4/25/2019,301
4/26/2019,308.75
4/28/2019,null
4/29/2019,317.25
4/30/2019,305
5/1/2019,304.25
5/2/2019,297.75
5/3/2019,301.25
5/5/2019,null
5/6/2019,295.5
5/7/2019,295.25
5/8/2019,295
5/9/2019,298.5
5/10/2019,302.75
5/12/2019,null
5/13/2019,299.75
5/14/2019,270
5/15/2019,287.75
5/16/2019,294.25
5/17/2019,294
5/19/2019,null
5/20/2019,296.5
5/21/2019,308.5
5/22/2019,310.25
5/23/2019,304.5
5/24/2019,308.5
5/26/2019,null
5/28/2019,316.75
5/29/2019,315
5/30/2019,318
5/31/2019,314.5
6/2/2019,null
6/3/2019,305.25
6/4/2019,304
6/5/2019,291.75
6/6/2019,300.25
6/7/2019,296
6/9/2019,null
6/10/2019,295
6/11/2019,303.75
6/12/2019,300.5
6/13/2019,304.5
6/14/2019,302.75
6/16/2019,null
6/17/2019,297.5
6/18/2019,297.5
6/19/2019,285.5
6/20/2019,283.75
6/21/2019,279
6/23/2019,null
6/24/2019,270.5
6/25/2019,271.5
6/26/2019,277.25
6/27/2019,278
6/28/2019,273
6/30/2019,null
7/1/2019,281.25
7/2/2019,285
7/3/2019,null
7/5/2019,275
7/7/2019,null
7/8/2019,276.5
7/9/2019,274
7/10/2019,275.75
7/11/2019,281
7/12/2019,281
7/14/2019,null
7/15/2019,281.25
7/16/2019,275.75
7/17/2019,278.25
7/18/2019,274.75
7/19/2019,271.75
7/21/2019,null
7/22/2019,266.75
7/23/2019,266
7/24/2019,264.75
7/25/2019,263.5
7/26/2019,257.5
7/28/2019,null
7/29/2019,258.75
7/30/2019,257.5
7/31/2019,256
8/1/2019,258.5
8/2/2019,265.5
8/4/2019,null
8/5/2019,265.75
8/6/2019,265.75
8/7/2019,269
8/8/2019,274.75
8/9/2019,274.75
8/11/2019,null
8/12/2019,271.75
8/13/2019,271.75
8/14/2019,276.75
8/15/2019,274.75
8/16/2019,280.25
8/18/2019,null
8/19/2019,270.25
8/20/2019,272.75
8/21/2019,271.5
8/22/2019,265.25
8/23/2019,264.75
8/25/2019,null
8/26/2019,263
8/27/2019,256.25
8/28/2019,254
8/29/2019,280.25
8/30/2019,262.25
9/1/2019,null
9/3/2019,258.5
9/4/2019,264
9/5/2019,275
9/6/2019,276.25
9/8/2019,null
9/9/2019,276.5
9/10/2019,281.75
9/11/2019,287
9/12/2019,290.25
9/13/2019,290.25
9/15/2019,null
9/16/2019,281
9/17/2019,281.25
9/18/2019,277.75
9/19/2019,276.75
9/20/2019,275.75
9/22/2019,null
9/23/2019,279.75
9/24/2019,273.5
9/25/2019,272.25
9/26/2019,270.25
9/27/2019,270
9/29/2019,null
9/30/2019,275.75
10/1/2019,282
10/2/2019,282.75
10/3/2019,287
10/4/2019,286
10/6/2019,null
10/7/2019,281.5
10/8/2019,284.5
10/9/2019,284.5
10/10/2019,285.75
10/11/2019,289.25
10/13/2019,null
10/14/2019,297.75
10/15/2019,296.5
10/16/2019,302.5
10/17/2019,298.75
10/18/2019,294.25
10/20/2019,null
10/21/2019,288.5
10/22/2019,296.75
10/23/2019,296.75
10/24/2019,302.25
10/25/2019,302.5
10/27/2019,null
10/28/2019,296.5
10/29/2019,300.5
10/30/2019,296.75
10/31/2019,297.25
11/1/2019,306
11/3/2019,null
11/4/2019,297.75
11/5/2019,300.75
11/6/2019,307
11/7/2019,305.25
11/8/2019,304.25
11/10/2019,null
11/11/2019,312.25
11/12/2019,307.75
11/13/2019,305.5
11/14/2019,308.75
11/15/2019,309
11/17/2019,null
11/18/2019,302.25
11/19/2019,306.5
11/20/2019,313.75
11/21/2019,313.5
11/22/2019,311.5
11/24/2019,null
11/25/2019,314.75
11/26/2019,316
11/27/2019,312.5
11/29/2019,null
12/1/2019,null
12/2/2019,325.25
12/3/2019,320.25
12/4/2019,322.75
12/5/2019,316.25
12/6/2019,313.75
12/8/2019,null
12/9/2019,316.75
12/10/2019,316.25
12/11/2019,315.25
12/12/2019,324.25
12/13/2019,324.25
12/15/2019,null
12/16/2019,307.5
12/17/2019,306.5
12/18/2019,299.5
12/19/2019,297.25
12/20/2019,292
12/22/2019,null
12/23/2019,288.5
12/24/2019,null
12/26/2019,283
12/27/2019,288.5
12/29/2019,null
12/30/2019,290.5
12/31/2019,292
1/2/2020,298
1/3/2020,290.75
1/5/2020,null
1/6/2020,294.25
1/7/2020,293.25
1/8/2020,299
1/9/2020,302
1/10/2020,308.5
1/12/2020,null
1/13/2020,311
1/14/2020,313
1/15/2020,305.75
1/16/2020,305.5
1/17/2020,311.75
1/19/2020,null
1/21/2020,314.75
1/22/2020,313.25
1/23/2020,316.5
1/24/2020,303.25
1/26/2020,null
1/27/2020,300.5
1/28/2020,307
1/29/2020,307.75
1/30/2020,305.5
1/31/2020,303.75
2/2/2020,null
2/3/2020,300.25
2/4/2020,308
2/5/2020,304.5
2/6/2020,304.75
2/7/2020,303
2/9/2020,null
2/10/2020,301.75
2/11/2020,299.25
2/12/2020,304
2/13/2020,295.75
2/14/2020,296
2/16/2020,null
2/18/2020,303.5
2/19/2020,301.25
2/20/2020,298.5
2/21/2020,296
2/23/2020,null
2/24/2020,286
2/25/2020,285
2/26/2020,278.75
2/27/2020,278.25
2/28/2020,273.25
3/1/2020,null
3/2/2020,266.25
3/3/2020,263.25
3/4/2020,271.75
3/5/2020,270.25
3/6/2020,268.5
3/8/2020,null
3/9/2020,266.25
3/10/2020,275
3/11/2020,273.5
3/12/2020,275
3/13/2020,269.75
3/15/2020,null
3/16/2020,260.5
3/17/2020,253.25
3/18/2020,256
3/19/2020,263
3/20/2020,262.25
3/22/2020,null
3/23/2020,268
3/24/2020,269
3/25/2020,268
3/26/2020,261.25
3/27/2020,264
3/29/2020,null
3/30/2020,264
3/31/2020,264.25
4/1/2020,260.25
4/2/2020,262.5
4/3/2020,274.75
4/5/2020,null
4/6/2020,277
